epoch,accuracy,loss,val_accuracy,val_loss
0,0.7350000143051147,0.7249961495399475,0.7400000095367432,0.5324385762214661
1,0.8389999866485596,0.3775878846645355,0.793749988079071,0.4603463411331177
2,0.8629999756813049,0.3041910231113434,0.8987500071525574,0.28171685338020325
3,0.8949999809265137,0.2528958320617676,0.8987500071525574,0.2661114037036896
4,0.9210000038146973,0.19371172785758972,0.8949999809265137,0.3156709372997284
5,0.9240000247955322,0.182900533080101,0.8762500286102295,0.33748310804367065
6,0.9399999976158142,0.15670911967754364,0.887499988079071,0.3210594654083252
7,0.9419999718666077,0.13949422538280487,0.8612499833106995,0.4786393344402313
8,0.9480000138282776,0.12191363424062729,0.8237500190734863,0.6591085195541382
9,0.9580000042915344,0.10766960680484772,0.8924999833106995,0.3700381815433502
